id,title,description,link,image_link,price,brand,category,availability
MEDUSA-10-25-STRAIGHT-RECYCLER,"10.25"" Straight Recycler Human Grade Wholesale","10.25"" Straight Recycler Human Grade Wholesale is cataloged as a Hydrated Particulate Filter within the Pixie’s Pantry taxonomy. This item supports high-clarity product selection and prioritizes function over impulse-driven purchasing. It is validated for cleaning accessibility and maintenance cycles, with attention to aerosol pathway purity and particulate control. Internal classification: Tier 2: Filtration & Cooling; MGV-1 Cluster C: Hydrated Filters; Compact aerosol conditioning unit. Language reflects internal audit methodology, not external certification.",https://smokecartel.pxf.io/c/5929369/2120665/26924,https://d3k6t6l60lmqbi.cloudfront.net/product_images/685ad2887af55-1750782600_thumbnail.jpg,66.99,Human Grade,Home > Human Grade,in stock
MEDUSA-11-5-SWISS-INCYCLER,"11.5"" Swiss Incycler Human Grade Wholesale","11.5"" Swiss Incycler Human Grade Wholesale is cataloged as a Hydrated Particulate Filter within the Pixie’s Pantry taxonomy. This item supports controlled thermal output environments and enhances understanding of component-level roles. It is verified for hermetic pathway continuity, with attention to controlled environmental interaction with output stream. Internal classification: Tier 2: Filtration & Cooling; MGV-1 Cluster C: Hydrated Filters; Compact aerosol conditioning unit. The purpose is improved hardware understanding, not medical guidance.",https://daily-high-club-affiliate-program.pxf.io/c/5929369/673119/10481,https://d3k6t6l60lmqbi.cloudfront.net/product_images/2KD7uoegdpQhlUCOAECqAoG4IMFCC49CuwoxxFXv.jpg,95.0,Human Grade,Home > Human Grade,in stock
MEDUSA-12-TUBE,"12"" Tube Human Grade Wholesale","12"" Tube Human Grade Wholesale is cataloged as a Hydrated Particulate Filter within the Pixie’s Pantry taxonomy. This item supports maintenance-conscious setups and reinforces disciplined hardware selection behavior. It is examined for airflow consistency under repeat use, with attention to thermodynamic extraction consistency. Internal classification: Tier 2: Filtration & Cooling; MGV-1 Preparation Surface Classification; Compact aerosol conditioning unit. The purpose is improved hardware understanding, not medical guidance.",https://nalgene.pxf.io/c/5929369/970979/12848,https://d3k6t6l60lmqbi.cloudfront.net/product_images/2UrCCrM5dkiQ85FZEUQv3Z9y8Wu53vZUmhJ90Ob5.jpg,44.99,Human Grade,Home > Human Grade,in stock
SWITCH-2-INSERT-QUARTZ,Dr Dabber Switch 2 Inserts,"<p data-start=""302"" data-end=""576"">Upgrade your <meta charset=""utf-8""><a title=""Dr. Dabber Switch 2"" href=""https://caliconnected.com/products/dr-dabber-switch-2"">Dr. Dabber Switch 2 Vaporizer</a> with a premium 20mm insert designed for maximum surface area, efficient heat transfer, and easy cleaning. Each insert fits flush inside the induction well and keeps your material contained for a cleaner, more controlled session. All three options are roughly 300% larger than the original Switch insert, delivering improved heat distribution and a more expansive dabbing surface.</p> <h3 data-start=""736"" data-end=""771"">Quartz Insert – Clean &amp; Classic</h3> <p data-start=""773"" data-end=""937"">Crafted from ultra-pure quartz under strict manufacturing tolerances, the Quartz Insert delivers a clean, uniform heating surface for consistent vapor production. </p> <p data-start=""939"" data-end=""1078"">Quartz is ideal for users who want dependable performance, excellent flavor clarity, and easy maintenance in a durable daily driver insert.<meta charset=""utf-8""></p> <h3 data-start=""1085"" data-end=""1138"">Sapphire Plus Insert – Maximum Flavor &amp; Retention</h3> <p data-start=""1140"" data-end=""1357"">Made from a lab-grown single-crystal sapphire, the Sapphire Plus Insert is engineered for superior heat retention and even distribution. It holds heat longer, reduces hot spots, and enhances overall vapor consistency.</p> <p data-start=""1359"" data-end=""1540"">Sapphire is chemically inert, preserving the full flavor profile of your concentrates without metallic notes. Its ultra-smooth surface minimizes residue buildup for easier cleaning.</p> <p data-start=""1542"" data-end=""1657"">Note: Slight milling striations may be visible prior to use. These are cosmetic only and do not affect performance.</p> <p data-start=""1659"" data-end=""1719"">Best for: flavor chasers and low-temp precision enthusiasts.</p> <h3 data-start=""1726"" data-end=""1764"">Titanium Insert – Fast &amp; Versatile</h3> <p data-start=""1766"" data-end=""1982"">Constructed from medical-grade titanium, this insert offers exceptionally fast heat-up times and rugged durability. It’s compatible with both oils and dry materials, making it the most versatile option in the lineup.</p> <p data-start=""1984"" data-end=""2105"">If you prefer quick ramp-up times and long-term durability, titanium delivers reliable performance session after session.</p> <h3 data-start=""1984"" data-end=""2105"">Get Connected:</h3> <ul> <li data-start=""1984"" data-end=""2105""> <meta charset=""utf-8"">Fits <meta charset=""utf-8""> <a title=""Dr. Dabber Switch 2"" href=""https://caliconnected.com/products/dr-dabber-switch-2"">Dr. Dabber Switch 2</a> </li> <li data-start=""1984"" data-end=""2105"">20mm Diameter Inserts</li> <li data-start=""1984"" data-end=""2105"">Compatible with Switch² Induction Heating System</li> <li data-start=""1984"" data-end=""2105"">Available in Quartz, Sapphire Plus, or Titanium</li> <li data-start=""1984"" data-end=""2105"">Quartz for Clean, Even Flavor</li> <li data-start=""1984"" data-end=""2105"">Sapphire Plus for Superior Heat Retention &amp; Maximum Flavor</li> <li data-start=""1984"" data-end=""2105"">Titanium for Fast Heat-Up &amp; Rugged Durability</li> <li data-start=""1984"" data-end=""2105"">Designed to Sit Flush for Efficient Heat Transfer &amp; Easy Cleaning</li> </ul>",https://drdabber.sjv.io/c/5929369/1892868/22644,https://cdn.shopify.com/s/files/1/0568/2780/5886/files/Dr-Dabber-Switch-2-Inserts.jpg?v=1771383468,38.0,Dr. Dabber,,in stock
SWITCH-2-INSERT-SAPPHIRE,Dr Dabber Switch 2 Inserts,"<p data-start=""302"" data-end=""576"">Upgrade your <meta charset=""utf-8""><a title=""Dr. Dabber Switch 2"" href=""https://caliconnected.com/products/dr-dabber-switch-2"">Dr. Dabber Switch 2 Vaporizer</a> with a premium 20mm insert designed for maximum surface area, efficient heat transfer, and easy cleaning. Each insert fits flush inside the induction well and keeps your material contained for a cleaner, more controlled session. All three options are roughly 300% larger than the original Switch insert, delivering improved heat distribution and a more expansive dabbing surface.</p> <h3 data-start=""736"" data-end=""771"">Quartz Insert – Clean &amp; Classic</h3> <p data-start=""773"" data-end=""937"">Crafted from ultra-pure quartz under strict manufacturing tolerances, the Quartz Insert delivers a clean, uniform heating surface for consistent vapor production. </p> <p data-start=""939"" data-end=""1078"">Quartz is ideal for users who want dependable performance, excellent flavor clarity, and easy maintenance in a durable daily driver insert.<meta charset=""utf-8""></p> <h3 data-start=""1085"" data-end=""1138"">Sapphire Plus Insert – Maximum Flavor &amp; Retention</h3> <p data-start=""1140"" data-end=""1357"">Made from a lab-grown single-crystal sapphire, the Sapphire Plus Insert is engineered for superior heat retention and even distribution. It holds heat longer, reduces hot spots, and enhances overall vapor consistency.</p> <p data-start=""1359"" data-end=""1540"">Sapphire is chemically inert, preserving the full flavor profile of your concentrates without metallic notes. Its ultra-smooth surface minimizes residue buildup for easier cleaning.</p> <p data-start=""1542"" data-end=""1657"">Note: Slight milling striations may be visible prior to use. These are cosmetic only and do not affect performance.</p> <p data-start=""1659"" data-end=""1719"">Best for: flavor chasers and low-temp precision enthusiasts.</p> <h3 data-start=""1726"" data-end=""1764"">Titanium Insert – Fast &amp; Versatile</h3> <p data-start=""1766"" data-end=""1982"">Constructed from medical-grade titanium, this insert offers exceptionally fast heat-up times and rugged durability. It’s compatible with both oils and dry materials, making it the most versatile option in the lineup.</p> <p data-start=""1984"" data-end=""2105"">If you prefer quick ramp-up times and long-term durability, titanium delivers reliable performance session after session.</p> <h3 data-start=""1984"" data-end=""2105"">Get Connected:</h3> <ul> <li data-start=""1984"" data-end=""2105""> <meta charset=""utf-8"">Fits <meta charset=""utf-8""> <a title=""Dr. Dabber Switch 2"" href=""https://caliconnected.com/products/dr-dabber-switch-2"">Dr. Dabber Switch 2</a> </li> <li data-start=""1984"" data-end=""2105"">20mm Diameter Inserts</li> <li data-start=""1984"" data-end=""2105"">Compatible with Switch² Induction Heating System</li> <li data-start=""1984"" data-end=""2105"">Available in Quartz, Sapphire Plus, or Titanium</li> <li data-start=""1984"" data-end=""2105"">Quartz for Clean, Even Flavor</li> <li data-start=""1984"" data-end=""2105"">Sapphire Plus for Superior Heat Retention &amp; Maximum Flavor</li> <li data-start=""1984"" data-end=""2105"">Titanium for Fast Heat-Up &amp; Rugged Durability</li> <li data-start=""1984"" data-end=""2105"">Designed to Sit Flush for Efficient Heat Transfer &amp; Easy Cleaning</li> </ul>",https://drdabber.sjv.io/c/5929369/1892868/22644,https://cdn.shopify.com/s/files/1/0568/2780/5886/files/Dr-Dabber-Switch-2-Inserts.jpg?v=1771383468,114.0,Dr. Dabber,,in stock
SWITCH-2-INSERT-SAPPHIRE-PLUS,Dr Dabber Switch 2 Inserts,"<p data-start=""302"" data-end=""576"">Upgrade your <meta charset=""utf-8""><a title=""Dr. Dabber Switch 2"" href=""https://caliconnected.com/products/dr-dabber-switch-2"">Dr. Dabber Switch 2 Vaporizer</a> with a premium 20mm insert designed for maximum surface area, efficient heat transfer, and easy cleaning. Each insert fits flush inside the induction well and keeps your material contained for a cleaner, more controlled session. All three options are roughly 300% larger than the original Switch insert, delivering improved heat distribution and a more expansive dabbing surface.</p> <h3 data-start=""736"" data-end=""771"">Quartz Insert – Clean &amp; Classic</h3> <p data-start=""773"" data-end=""937"">Crafted from ultra-pure quartz under strict manufacturing tolerances, the Quartz Insert delivers a clean, uniform heating surface for consistent vapor production. </p> <p data-start=""939"" data-end=""1078"">Quartz is ideal for users who want dependable performance, excellent flavor clarity, and easy maintenance in a durable daily driver insert.<meta charset=""utf-8""></p> <h3 data-start=""1085"" data-end=""1138"">Sapphire Plus Insert – Maximum Flavor &amp; Retention</h3> <p data-start=""1140"" data-end=""1357"">Made from a lab-grown single-crystal sapphire, the Sapphire Plus Insert is engineered for superior heat retention and even distribution. It holds heat longer, reduces hot spots, and enhances overall vapor consistency.</p> <p data-start=""1359"" data-end=""1540"">Sapphire is chemically inert, preserving the full flavor profile of your concentrates without metallic notes. Its ultra-smooth surface minimizes residue buildup for easier cleaning.</p> <p data-start=""1542"" data-end=""1657"">Note: Slight milling striations may be visible prior to use. These are cosmetic only and do not affect performance.</p> <p data-start=""1659"" data-end=""1719"">Best for: flavor chasers and low-temp precision enthusiasts.</p> <h3 data-start=""1726"" data-end=""1764"">Titanium Insert – Fast &amp; Versatile</h3> <p data-start=""1766"" data-end=""1982"">Constructed from medical-grade titanium, this insert offers exceptionally fast heat-up times and rugged durability. It’s compatible with both oils and dry materials, making it the most versatile option in the lineup.</p> <p data-start=""1984"" data-end=""2105"">If you prefer quick ramp-up times and long-term durability, titanium delivers reliable performance session after session.</p> <h3 data-start=""1984"" data-end=""2105"">Get Connected:</h3> <ul> <li data-start=""1984"" data-end=""2105""> <meta charset=""utf-8"">Fits <meta charset=""utf-8""> <a title=""Dr. Dabber Switch 2"" href=""https://caliconnected.com/products/dr-dabber-switch-2"">Dr. Dabber Switch 2</a> </li> <li data-start=""1984"" data-end=""2105"">20mm Diameter Inserts</li> <li data-start=""1984"" data-end=""2105"">Compatible with Switch² Induction Heating System</li> <li data-start=""1984"" data-end=""2105"">Available in Quartz, Sapphire Plus, or Titanium</li> <li data-start=""1984"" data-end=""2105"">Quartz for Clean, Even Flavor</li> <li data-start=""1984"" data-end=""2105"">Sapphire Plus for Superior Heat Retention &amp; Maximum Flavor</li> <li data-start=""1984"" data-end=""2105"">Titanium for Fast Heat-Up &amp; Rugged Durability</li> <li data-start=""1984"" data-end=""2105"">Designed to Sit Flush for Efficient Heat Transfer &amp; Easy Cleaning</li> </ul>",https://drdabber.sjv.io/c/5929369/1892868/22644,https://cdn.shopify.com/s/files/1/0568/2780/5886/files/Dr-Dabber-Switch-2-Inserts.jpg?v=1771383468,160.0,Dr. Dabber,,in stock
SWITCH-2-INSERT-TITANIUM,Dr Dabber Switch 2 Inserts,"<p data-start=""302"" data-end=""576"">Upgrade your <meta charset=""utf-8""><a title=""Dr. Dabber Switch 2"" href=""https://caliconnected.com/products/dr-dabber-switch-2"">Dr. Dabber Switch 2 Vaporizer</a> with a premium 20mm insert designed for maximum surface area, efficient heat transfer, and easy cleaning. Each insert fits flush inside the induction well and keeps your material contained for a cleaner, more controlled session. All three options are roughly 300% larger than the original Switch insert, delivering improved heat distribution and a more expansive dabbing surface.</p> <h3 data-start=""736"" data-end=""771"">Quartz Insert – Clean &amp; Classic</h3> <p data-start=""773"" data-end=""937"">Crafted from ultra-pure quartz under strict manufacturing tolerances, the Quartz Insert delivers a clean, uniform heating surface for consistent vapor production. </p> <p data-start=""939"" data-end=""1078"">Quartz is ideal for users who want dependable performance, excellent flavor clarity, and easy maintenance in a durable daily driver insert.<meta charset=""utf-8""></p> <h3 data-start=""1085"" data-end=""1138"">Sapphire Plus Insert – Maximum Flavor &amp; Retention</h3> <p data-start=""1140"" data-end=""1357"">Made from a lab-grown single-crystal sapphire, the Sapphire Plus Insert is engineered for superior heat retention and even distribution. It holds heat longer, reduces hot spots, and enhances overall vapor consistency.</p> <p data-start=""1359"" data-end=""1540"">Sapphire is chemically inert, preserving the full flavor profile of your concentrates without metallic notes. Its ultra-smooth surface minimizes residue buildup for easier cleaning.</p> <p data-start=""1542"" data-end=""1657"">Note: Slight milling striations may be visible prior to use. These are cosmetic only and do not affect performance.</p> <p data-start=""1659"" data-end=""1719"">Best for: flavor chasers and low-temp precision enthusiasts.</p> <h3 data-start=""1726"" data-end=""1764"">Titanium Insert – Fast &amp; Versatile</h3> <p data-start=""1766"" data-end=""1982"">Constructed from medical-grade titanium, this insert offers exceptionally fast heat-up times and rugged durability. It’s compatible with both oils and dry materials, making it the most versatile option in the lineup.</p> <p data-start=""1984"" data-end=""2105"">If you prefer quick ramp-up times and long-term durability, titanium delivers reliable performance session after session.</p> <h3 data-start=""1984"" data-end=""2105"">Get Connected:</h3> <ul> <li data-start=""1984"" data-end=""2105""> <meta charset=""utf-8"">Fits <meta charset=""utf-8""> <a title=""Dr. Dabber Switch 2"" href=""https://caliconnected.com/products/dr-dabber-switch-2"">Dr. Dabber Switch 2</a> </li> <li data-start=""1984"" data-end=""2105"">20mm Diameter Inserts</li> <li data-start=""1984"" data-end=""2105"">Compatible with Switch² Induction Heating System</li> <li data-start=""1984"" data-end=""2105"">Available in Quartz, Sapphire Plus, or Titanium</li> <li data-start=""1984"" data-end=""2105"">Quartz for Clean, Even Flavor</li> <li data-start=""1984"" data-end=""2105"">Sapphire Plus for Superior Heat Retention &amp; Maximum Flavor</li> <li data-start=""1984"" data-end=""2105"">Titanium for Fast Heat-Up &amp; Rugged Durability</li> <li data-start=""1984"" data-end=""2105"">Designed to Sit Flush for Efficient Heat Transfer &amp; Easy Cleaning</li> </ul>",https://drdabber.sjv.io/c/5929369/1892868/22644,https://cdn.shopify.com/s/files/1/0568/2780/5886/files/Dr-Dabber-Switch-2-Inserts.jpg?v=1771383468,26.0,Dr. Dabber,,in stock
DDB-2-S,Dr. Dabber Switch 2 E-Rig Vaporizer,"<p>Introducing the Switch 2nd Edition, the pinnacle of over a decade of innovation and customer feedback. The Switch 2 brings a host of groundbreaking features that set it apart from every other eRig on the market such as its IR Sensor Technology, offering precision heating like never before. This exclusive feature ensures unparalleled temperature control, allowing for a more accurate and consistent dab.</p> <p>Thanks to omni-directional induction heating, the Switch 2 heats evenly from both the sidewalls and the base of the insert. This results in a more efficient, even heat distribution, enhancing both flavor and vapor production. Say goodbye to the frustration of failed atomizers. The Switch 2 includes a 20mm Quartz Insert, offering a 300% increase in capacity compared to the original Switch. This means it can easily handle dabs of all sizes without compromising on performance or flavor.</p> <p>The Switch 2 introduces three dynamic heating modes that redefine your electric dab experience. Descent Mode mimics traditional torch dabbing by reducing temperature gradually at a rate of 1° per second. This mode preserves terpenes and eliminates the burnt taste, giving you smooth, flavorful hits every time. Ascent Mode is perfect for low-temp enthusiasts and terp chasers, gradually increasing the temperature for an ideal, flavorful experience from start to finish. Steady Mode maintains a consistent temperature throughout your session, adjusting based on the size of your dab and the rate of inhalation for an optimal experience.</p> <p>Take full control with the Dr. Dabber App. Personalize your dabbing experience by adjusting temperature profiles, hold times, session durations, and light modes for complete customization at your fingertips. Whether you're a seasoned dabber or new to the world of eRigs, the Switch 2 provides a level of performance, control, and customization that will elevate your experience to new heights.</p> <h3><b><i>Get Connected:</i></b></h3> <p><span>Compatible Dry Herbs &amp; Wax 🌿🍯 <br>Dr. Dabber Switch 2 E-Rig Vaporizer<br>Borosilicate Glass Bubbler</span><span><br>4 Second Heat Up Time<br>20mm Quartz Insert<br>USB-C Rapid Charging<br>Pass-Through Functionality<br>Borosilicate Glass Carb Cap<br></span></p> <h3><b><i>Box Includes:</i></b></h3> <p><span style=""font-weight: 400;"">1 x Dr. Dabber Switch 2 Vaporizer<br>1 x Borosilicate Glass Bubbler<br></span><span style=""font-weight: 400;"">1 x Switch 2 Quartz Insert<br>1 x Charger with Cable<br></span><span style=""font-weight: 400;"">1 x Dabber Drop<br>1 x Carb Cap</span><br></p>",https://drdabber.sjv.io/c/5929369/1892868/22644,https://cdn.shopify.com/s/files/1/0568/2780/5886/files/Dr-Dabber-Switch-2-E-Rig.jpg?v=1758214887,630.0,Dr. Dabber,,in stock
DRDBR-RGL-CLR,Dr. Dabber Switch 2 Replacement Glass Attachment,"<p><span style=""font-weight: 400;"">This is a Replacement Glass Percolator Attachment designed for use with the <meta charset=""utf-8""> <a href=""https://caliconnected.com/products/dr-dabber-switch-2"" title=""Dr. Dabber Switch 2 Vaporizer"" rel=""noopener"" target=""_blank"">Dr. Dabber Switch 2</a><a href=""Dr.%20Dabber%20Switch%202%20E-Rig%20Vaporizer"" title=""Dr. Dabber Switch 2 Vaporizer"" rel=""noopener"" target=""_blank""></a></span><span style=""font-weight: 400;"">. </span><span style=""font-weight: 400;"">This heavy-duty borosilicate glass attachment functions exactly the same as the original glass included with the Switch 2, strategically designed to deliver super smooth hits from your favorite wax concentrates and dry herb strains. The glass is custom-blown for the Switch 2 and fits snugly into the top of the vaporizer. It utilizes a laser-cut percolator for refined water filtration and a large chamber with ample room for water and vapor production. The Dr Dabber Switch 2 Replacement Glass Attachment <meta charset=""utf-8"">is an OEM (original equipment manufacturer) replacement part made <meta charset=""utf-8"">specifically for use with the Dr. Dabber Switch 2. </span><span style=""font-weight: 400;""></span></p> <h3><b><i>Get Connected:</i></b></h3> <p><span style=""font-weight: 400;"">Dr. Dabber Switch 2 Replacement Glass</span><br><span style=""font-weight: 400;"">Heavy-Duty Borosilicate Glass</span><br><span style=""font-weight: 400;"">Large Water Chamber</span><span style=""font-weight: 400;""><br></span><span style=""font-weight: 400;"">Cools &amp; Filters Vapor</span><br><span style=""font-weight: 400;"">Thick Clear Glass</span><br><span style=""font-weight: 400;"">Easy to Replace</span><br><span style=""font-weight: 400;"">Laser-Cut Percolator</span><br><span style=""font-weight: 400;"">OEM Replacement Part</span><br><span style=""font-weight: 400;"">Fits the <a href=""https://caliconnected.com/products/dr-dabber-switch-2"" target=""_blank"" title=""Dr. Dabber Switch 2 Vaporizer"" rel=""noopener"">Dr. Dabber Switch 2</a><a href=""Dr.%20Dabber%20Switch%202%20E-Rig%20Vaporizer"" title=""Dr. Dabber Switch 2 Vaporizer"" rel=""noopener"" target=""_blank""></a></span><span style=""font-weight: 400;""> Erig</span><br></p>",https://drdabber.sjv.io/c/5929369/1892868/22644,https://cdn.shopify.com/s/files/1/0568/2780/5886/files/Dr-Dabber-Switch-2-Replacement-Glass-Attachment.jpg?v=1758237424,90.0,Dr. Dabber,,in stock
TW-DR-DABBER-BOOST-EVO-QUARTZ-ATOMIZER,Dr. Dabber Boost EVO Quartz Atomizer,"<p>The Boost EVO Quartz Atomizer is a fully built component that includes Dr. Dabber's proprietary IntelliTEMP heating element, a quartz vaporizing chamber, and a stainless steel body. This replacement atomizer's heating element and internals stay completely isolated from your oils and the vapor-path to prevent residue build-up. The IntelliTEMP heating element includes a built-in sensor that sends feedback on the atomizer's temperature in real-time to the unit and ensures a reliable vaping experience. The Boost EVO Quartz Atomizer also features a Snaptech magnetic system, making the loading process incredibly simple with no threading or twisting necessary for insertion or removal. The Dr. Dabber Boost EVO Quartz Atomizer is an OEM (original equipment manufacturer) accessory designed specifically for use with the <a data-mce-fragment=""1"" href=""https://caliconnected.com/products/dr-dabber-boost-evo"" title=""Dr. Dabber Boost EVO E-Nail Vaporizer"" data-mce-href=""https://caliconnected.com/products/dr-dabber-boost-evo"">Dr. Dabber Boost EVO</a> Vaporizer.</p> <h3><b><i>Get Connected:</i></b></h3> <p>Compatible with Wax Concentrates 🍯<br>Dr. Dabber Boost EVO Quartz Atomizer<br>High-Quality Quartz Chamber<br>Snaptech Magnetic System<br>Stainless Steel Body<br>E-Nail Accessory<br>Simple to Replace<br>OEM Replacement Part<br>Optimal Heat Distribution<br>IntelliTEMP Heating Element<br>Fits the <a data-mce-fragment=""1"" title=""Dr. Dabber Boost EVO E-Nail Vaporizer"" href=""https://caliconnected.com/products/dr-dabber-boost-evo"" data-mce-href=""https://caliconnected.com/products/dr-dabber-boost-evo"">Dr. Dabber Boost EVO</a><br></p>",https://drdabber.sjv.io/c/5929369/1892868/22644,https://cdn.shopify.com/s/files/1/0568/2780/5886/files/Dr-Dabber-Boost-Evo-Quartz-Atomizer.jpg?v=1758215036,60.0,Dr. Dabber,,in stock
