SKU,HCPCS Code,SDS Section,Clinical Term
WP974,E1399,11,Hydrated Particulate Filter (HPF)
WP975,A4649,11,Portable Aerosol Delivery Interface (PADI)
WP976,E1399,11,High-Viscosity Delivery System
HP266,A4649,11,Aerosol Filtration Bubbler
HP267,A4649,11,Portable Aerosol Delivery Interface (PADI)
HP265,A4649,11,Direct Inhalation Module (DIM)
SA5653,A4649,11,Aseptic Administration Interface (AAI)
SA5652,A4649,11,Direct Inhalation Module (DIM)
HP264,A4649,11,Direct Inhalation Module (DIM)
V1218D,E1399,11,Precision Power Supply (PPS)
WP953,E1399,11,Hydrated Particulate Filter (HPF)
WP954,E1399,11,High-Viscosity Delivery System
WP944,A4649,11,Aerosol Filtration Bubbler
HP262,A4649,11,Portable Aerosol Delivery Interface (PADI)
PP1314,A4649,11,Direct Inhalation Module (DIM)
HP216,A4649,11,Direct Inhalation Module (DIM)
SA5647,A4649,11,Direct Inhalation Module (DIM)
RTL-01-A-US-ST-BL,,,
RTL-01-A-US-ST-CA,,,
RTL-01-A-US-ST-GR,,,
RTL-01-A-US-ST-AR,,,
RTL-01-A-US-ST-LV,,,
RTL-01-A-US-ST-MG,,,
RTL-01-A-US-ST-YL,,,
RTL-01-A-US-ST-OR,,,
