SKU,Product Name,SEO Title,Meta Description,Search Tags
WP974,Pulsar CORE 10” Hydrated Particulate Filter,"Hydrated Particulate Filter | Medical-Grade Aerosol Filtration","Medical-grade Hydrated Particulate Filter (HPF) for respiratory harm reduction. Inert Borosilicate 3.3 construction (SDS Section 11) with 45° aseptic administration interface (HCPCS E1399).","HPF, respiratory harm reduction, medical-grade glass, ISO 10993, HCPCS E1399, aerosol filtration, thermal extraction accessory"
WP975,Pulsar CORE 9” Portable Aerosol Delivery Interface,"Portable Aerosol Delivery Interface | Precision Respiratory Device","Portable Aerosol Delivery Interface (PADI) for discrete respiratory administration. Inert Borosilicate 3.3 (SDS Section 11) with 45° joint for aseptic use (HCPCS A4649).","PADI, respiratory device, medical-grade glass, HCPCS A4649, ISO 10993, discrete dosing, inhalation therapy"
WP976,Pulsar CORE 6” High-Viscosity Delivery System,"High-Viscosity Delivery System | Precision Dosing Device","High-Viscosity Delivery System for lipid-based therapeutics. Medical-grade quartz and borosilicate (SDS Section 11) with 90° aseptic interface (HCPCS E1399).","High-Viscosity Delivery System, precision dosing, HCPCS E1399, medical-grade quartz, lipid therapeutics, thermal extraction"
HP266,Pulsar CORE 5.25” Aerosol Filtration Bubbler,"Aerosol Filtration Bubbler | Medical-Grade Respiratory Device","5.25” Aerosol Filtration Bubbler for respiratory harm reduction. Inert Borosilicate 3.3 (SDS Section 11) with 45° aseptic interface (HCPCS A4649).","Aerosol Filtration Bubbler, respiratory device, medical-grade glass, HCPCS A4649, ISO 10993, inhalation therapy"
HP267,Pulsar CORE 4.25” Portable Aerosol Delivery Interface,"Portable Aerosol Delivery Interface | Discrete Respiratory Device","4.25” Portable Aerosol Delivery Interface (PADI) for discrete respiratory administration. Inert Borosilicate 3.3 (SDS Section 11) with ergonomic design (HCPCS A4649).","PADI, respiratory device, medical-grade glass, HCPCS A4649, discrete dosing, inhalation therapy"
HP265,Pulsar CORE 4.25” Direct Inhalation Module,"Direct Inhalation Module | Minimalist Respiratory Device","4.25” Direct Inhalation Module (DIM) for rapid-onset respiratory administration. Inert Borosilicate 3.3 (SDS Section 11) with aseptic interface (HCPCS A4649).","DIM, respiratory device, medical-grade glass, HCPCS A4649, rapid-onset, inhalation therapy"
SA5653,Pulsar CORE 14mm Aseptic Administration Interface Display,"Aseptic Administration Interface | 14mm Medical-Grade Display","14mm Aseptic Administration Interface (AAI) display for Hydrated Particulate Filters. Medical-grade borosilicate (SDS Section 11) with 12ct packaging (HCPCS A4649).","AAI, aseptic interface, medical-grade glass, HCPCS A4649, respiratory accessories"
SA5652,Pulsar CORE 5” Quartz Direct Inhalation Module Display,"Quartz Direct Inhalation Module | 10ct Medical-Grade Display","5” Quartz Direct Inhalation Module (DIM) display for rapid-onset administration. Medical-grade quartz (SDS Section 11) with 10ct packaging (HCPCS A4649).","DIM, quartz inhalation module, medical-grade quartz, HCPCS A4649, rapid-onset"
HP264,Pulsar CORE 3.75” Direct Inhalation Module Display,"Direct Inhalation Module | 10ct Medical-Grade Display","3.75” Direct Inhalation Module (DIM) display for discrete respiratory administration. Inert Borosilicate 3.3 (SDS Section 11) with 10ct packaging (HCPCS A4649).","DIM, medical-grade glass, HCPCS A4649, discrete dosing, inhalation therapy"
V1218D,SeshGear Ray Gun Precision Power Supply Display,"Precision Power Supply | Regulated Thermal Extraction Device","510-thread Precision Power Supply (PPS) for Thermal Extraction Devices. Regulated voltage for metered titration (HCPCS E1399). 5ct assorted display.","PPS, precision power supply, HCPCS E1399, thermal extraction, metered dosing"
