Lighter Style,Collection,Product Title,Brand,Size,Case Qty,SKU,Barcode (PC),UPC Code (PC),Barcode (CS),UPC Code (CS),Distributor Price,MSRP (Retail),Sellable on Amazon?,Amazon SRP,Product Photo Preview,Product/Lifestyle Photos,,MSRP (Retail) Clean,Amazon SRP Clean,Piece SKU,Case SKU,Catalog Style,Catalog Collection,Catalog Product Title,Catalog Search,Catalog Search Normalized,Matched Product Title,Matched Product Handle,Matched Product URL,Product Match Score,Matched Variant Label,Variant Match Score,Primary Image URL,Gallery Image URLs,Image Count,Available,Match Status
BIC,Standard Bic Mixed Colors 2.0,Standard Bic - Black,Toker Poker,"1 piece = 3.125""x1.75""x0.75"", 0.8 oz.
1 case = 9.5""x18""x16"", 27.5 lbs.",500 pieces,"Piece: RTL-01-A-US-ST-BL
Case: RTL-01-A-US-ST-BL-MC",,810108340119,,10810108340116,2.8, $10.99/unit ,Yes,$9.99,,See Standard Bic Black Photos HERE,,10.99,9.99,RTL-01-A-US-ST-BL,RTL-01-A-US-ST-BL-MC,BIC,Standard Bic Mixed Colors 2.0,Standard Bic - Black,BIC | Standard Bic Mixed Colors 2.0 | Standard Bic - Black,bic standard bic standard bic black,Alice in Wonderland - BIC,alice-wonderland-collection,https://tokerpoker.com/collections/shop-all/products/alice-wonderland-collection,100,Alice Bundle,50,https://cdn.shopify.com/s/files/1/2665/6390/files/CockPaw---revamp.jpg?v=1759356462,https://cdn.shopify.com/s/files/1/2665/6390/files/CockPaw---revamp.jpg?v=1759356462 | https://cdn.shopify.com/s/files/1/2665/6390/files/Aiw---5-Pack---REVAMP.jpg?v=1759356522 | https://cdn.shopify.com/s/files/1/2665/6390/files/HoneyHatter---revamp.jpg?v=1759356522 | https://cdn.shopify.com/s/files/1/2665/6390/files/SugarCube1---revmap.jpg?v=1759356522 | https://cdn.shopify.com/s/files/1/2665/6390/files/ClockMaw---revamp.jpg?v=1759356522 | https://cdn.shopify.com/s/files/1/2665/6390/files/RedQueen---revamp.jpg?v=1759356522,6,True,matched
BIC,Standard Bic Mixed Colors 2.0, Standard Bic - Carolina,Toker Poker,"1 piece = 3.125""x1.75""x0.75"", 0.8 oz.
1 case = 9.5""x18""x16"", 27.5 lbs.",500 pieces,"Piece: RTL-01-A-US-ST-CA
Case: RTL-01-A-US-ST-CA-MC",,810108340102,,10810108340109,2.8, $10.99/unit ,Yes,$9.99,,See Standard Bic Carolina Photos HERE,,10.99,9.99,RTL-01-A-US-ST-CA,RTL-01-A-US-ST-CA-MC,BIC,Standard Bic Mixed Colors 2.0,Standard Bic - Carolina,BIC | Standard Bic Mixed Colors 2.0 | Standard Bic - Carolina,bic standard bic standard bic carolina,Alice in Wonderland - BIC,alice-wonderland-collection,https://tokerpoker.com/collections/shop-all/products/alice-wonderland-collection,100,Sugar Cube,45,https://cdn.shopify.com/s/files/1/2665/6390/files/CockPaw---revamp.jpg?v=1759356462,https://cdn.shopify.com/s/files/1/2665/6390/files/CockPaw---revamp.jpg?v=1759356462 | https://cdn.shopify.com/s/files/1/2665/6390/files/Aiw---5-Pack---REVAMP.jpg?v=1759356522 | https://cdn.shopify.com/s/files/1/2665/6390/files/HoneyHatter---revamp.jpg?v=1759356522 | https://cdn.shopify.com/s/files/1/2665/6390/files/SugarCube1---revmap.jpg?v=1759356522 | https://cdn.shopify.com/s/files/1/2665/6390/files/ClockMaw---revamp.jpg?v=1759356522 | https://cdn.shopify.com/s/files/1/2665/6390/files/RedQueen---revamp.jpg?v=1759356522,6,True,matched
BIC,Standard Bic Mixed Colors 2.0,Standard Bic - Grey,Toker Poker,"1 piece = 3.125""x1.75""x0.75"", 0.8 oz.
1 case = 9.5""x18""x16"", 27.5 lbs.",500 pieces,"Piece: RTL-01-A-US-ST-GR
Case: RTL-01-A-US-ST-GR-MC",,810108340126,,10810108340123,2.8, $10.99/unit ,Yes,$9.99,,See Standard Bic Grey Photos HERE,,10.99,9.99,RTL-01-A-US-ST-GR,RTL-01-A-US-ST-GR-MC,BIC,Standard Bic Mixed Colors 2.0,Standard Bic - Grey,BIC | Standard Bic Mixed Colors 2.0 | Standard Bic - Grey,bic standard bic standard bic grey,Alice in Wonderland - BIC,alice-wonderland-collection,https://tokerpoker.com/collections/shop-all/products/alice-wonderland-collection,100,Sugar Cube,48,https://cdn.shopify.com/s/files/1/2665/6390/files/CockPaw---revamp.jpg?v=1759356462,https://cdn.shopify.com/s/files/1/2665/6390/files/CockPaw---revamp.jpg?v=1759356462 | https://cdn.shopify.com/s/files/1/2665/6390/files/Aiw---5-Pack---REVAMP.jpg?v=1759356522 | https://cdn.shopify.com/s/files/1/2665/6390/files/HoneyHatter---revamp.jpg?v=1759356522 | https://cdn.shopify.com/s/files/1/2665/6390/files/SugarCube1---revmap.jpg?v=1759356522 | https://cdn.shopify.com/s/files/1/2665/6390/files/ClockMaw---revamp.jpg?v=1759356522 | https://cdn.shopify.com/s/files/1/2665/6390/files/RedQueen---revamp.jpg?v=1759356522,6,True,matched
BIC,Standard Bic Mixed Colors 2.0,Standard Bic - Army,Toker Poker,"1 piece = 3.125""x1.75""x0.75"", 0.8 oz.
1 case = 9.5""x18""x16"", 27.5 lbs.",500 pieces,"Piece: RTL-01-A-US-ST-AR
Case: RTL-01-A-US-ST-AR-MC",,810108340096,,10810108340093,2.8, $10.99/unit ,Yes,$9.99,,See Standard Bic Army Photos HERE,,10.99,9.99,RTL-01-A-US-ST-AR,RTL-01-A-US-ST-AR-MC,BIC,Standard Bic Mixed Colors 2.0,Standard Bic - Army,BIC | Standard Bic Mixed Colors 2.0 | Standard Bic - Army,bic standard bic standard bic army,Alice in Wonderland - BIC,alice-wonderland-collection,https://tokerpoker.com/collections/shop-all/products/alice-wonderland-collection,100,Sugar Cube,48,https://cdn.shopify.com/s/files/1/2665/6390/files/CockPaw---revamp.jpg?v=1759356462,https://cdn.shopify.com/s/files/1/2665/6390/files/CockPaw---revamp.jpg?v=1759356462 | https://cdn.shopify.com/s/files/1/2665/6390/files/Aiw---5-Pack---REVAMP.jpg?v=1759356522 | https://cdn.shopify.com/s/files/1/2665/6390/files/HoneyHatter---revamp.jpg?v=1759356522 | https://cdn.shopify.com/s/files/1/2665/6390/files/SugarCube1---revmap.jpg?v=1759356522 | https://cdn.shopify.com/s/files/1/2665/6390/files/ClockMaw---revamp.jpg?v=1759356522 | https://cdn.shopify.com/s/files/1/2665/6390/files/RedQueen---revamp.jpg?v=1759356522,6,True,matched
BIC,Standard Bic Mixed Colors 2.0,Standard Bic - Lavender,Toker Poker,"1 piece = 3.125""x1.75""x0.75"", 0.8 oz.
1 case = 9.5""x18""x16"", 27.5 lbs.",500 pieces,"Piece: RTL-01-A-US-ST-LV
Case: RTL-01-A-US-ST-LV-MC",,810108340140,,10810108340147,2.8, $10.99/unit ,Yes,$9.99,,See Standard Bic Lavender Photos HERE,,10.99,9.99,RTL-01-A-US-ST-LV,RTL-01-A-US-ST-LV-MC,BIC,Standard Bic Mixed Colors 2.0,Standard Bic - Lavender,BIC | Standard Bic Mixed Colors 2.0 | Standard Bic - Lavender,bic standard bic standard bic lavender,Alice in Wonderland - BIC,alice-wonderland-collection,https://tokerpoker.com/collections/shop-all/products/alice-wonderland-collection,100,Alice Bundle,48,https://cdn.shopify.com/s/files/1/2665/6390/files/CockPaw---revamp.jpg?v=1759356462,https://cdn.shopify.com/s/files/1/2665/6390/files/CockPaw---revamp.jpg?v=1759356462 | https://cdn.shopify.com/s/files/1/2665/6390/files/Aiw---5-Pack---REVAMP.jpg?v=1759356522 | https://cdn.shopify.com/s/files/1/2665/6390/files/HoneyHatter---revamp.jpg?v=1759356522 | https://cdn.shopify.com/s/files/1/2665/6390/files/SugarCube1---revmap.jpg?v=1759356522 | https://cdn.shopify.com/s/files/1/2665/6390/files/ClockMaw---revamp.jpg?v=1759356522 | https://cdn.shopify.com/s/files/1/2665/6390/files/RedQueen---revamp.jpg?v=1759356522,6,True,matched
BIC,Standard Bic Mixed Colors 2.0,Standard Bic - Magenta,Toker Poker,"1 piece = 3.125""x1.75""x0.75"", 0.8 oz.
1 case = 9.5""x18""x16"", 27.5 lbs.",500 pieces,"Piece: RTL-01-A-US-ST-MG
Case: RTL-01-A-US-ST-MG-MC",,810108340133,,10810108340130,2.8, $10.99/unit ,Yes,$9.99,,See Standard Bic Magenta Photos HERE,,10.99,9.99,RTL-01-A-US-ST-MG,RTL-01-A-US-ST-MG-MC,BIC,Standard Bic Mixed Colors 2.0,Standard Bic - Magenta,BIC | Standard Bic Mixed Colors 2.0 | Standard Bic - Magenta,bic standard bic standard bic magenta,Alice in Wonderland - BIC,alice-wonderland-collection,https://tokerpoker.com/collections/shop-all/products/alice-wonderland-collection,100,Alice Bundle,44,https://cdn.shopify.com/s/files/1/2665/6390/files/CockPaw---revamp.jpg?v=1759356462,https://cdn.shopify.com/s/files/1/2665/6390/files/CockPaw---revamp.jpg?v=1759356462 | https://cdn.shopify.com/s/files/1/2665/6390/files/Aiw---5-Pack---REVAMP.jpg?v=1759356522 | https://cdn.shopify.com/s/files/1/2665/6390/files/HoneyHatter---revamp.jpg?v=1759356522 | https://cdn.shopify.com/s/files/1/2665/6390/files/SugarCube1---revmap.jpg?v=1759356522 | https://cdn.shopify.com/s/files/1/2665/6390/files/ClockMaw---revamp.jpg?v=1759356522 | https://cdn.shopify.com/s/files/1/2665/6390/files/RedQueen---revamp.jpg?v=1759356522,6,True,matched
BIC,Standard Bic Mixed Colors 2.0,Standard Bic - Yellow ,Toker Poker,"1 piece = 3.125""x1.75""x0.75"", 0.8 oz.
1 case = 9.5""x18""x16"", 27.5 lbs.",500 pieces,"Piece: RTL-01-A-US-ST-YL
Case: RTL-01-A-US-ST-YL-MC",,810108340164,,10810108340161,2.8, $10.99/unit ,Yes,$9.99,,See Standard Bic Yellow Photos HERE,,10.99,9.99,RTL-01-A-US-ST-YL,RTL-01-A-US-ST-YL-MC,BIC,Standard Bic Mixed Colors 2.0,Standard Bic - Yellow,BIC | Standard Bic Mixed Colors 2.0 | Standard Bic - Yellow,bic standard bic standard bic yellow,Alice in Wonderland - BIC,alice-wonderland-collection,https://tokerpoker.com/collections/shop-all/products/alice-wonderland-collection,100,Clockmaw,45,https://cdn.shopify.com/s/files/1/2665/6390/files/CockPaw---revamp.jpg?v=1759356462,https://cdn.shopify.com/s/files/1/2665/6390/files/CockPaw---revamp.jpg?v=1759356462 | https://cdn.shopify.com/s/files/1/2665/6390/files/Aiw---5-Pack---REVAMP.jpg?v=1759356522 | https://cdn.shopify.com/s/files/1/2665/6390/files/HoneyHatter---revamp.jpg?v=1759356522 | https://cdn.shopify.com/s/files/1/2665/6390/files/SugarCube1---revmap.jpg?v=1759356522 | https://cdn.shopify.com/s/files/1/2665/6390/files/ClockMaw---revamp.jpg?v=1759356522 | https://cdn.shopify.com/s/files/1/2665/6390/files/RedQueen---revamp.jpg?v=1759356522,6,True,matched
BIC,Standard Bic Mixed Colors 2.0,Standard Bic - Orange,Toker Poker,"1 piece = 3.125""x1.75""x0.75"", 0.8 oz.
1 case = 9.5""x18""x16"", 27.5 lbs.",500 pieces,"Piece: RTL-01-A-US-ST-OR
Case: RTL-01-A-US-ST-OR-MC",,810108340157,,10810108340154,2.8, $10.99/unit ,Yes,$9.99,,See Standard Bic Orange Photos HERE,,10.99,9.99,RTL-01-A-US-ST-OR,RTL-01-A-US-ST-OR-MC,BIC,Standard Bic Mixed Colors 2.0,Standard Bic - Orange,BIC | Standard Bic Mixed Colors 2.0 | Standard Bic - Orange,bic standard bic standard bic orange,Alice in Wonderland - BIC,alice-wonderland-collection,https://tokerpoker.com/collections/shop-all/products/alice-wonderland-collection,100,Alice Bundle,47,https://cdn.shopify.com/s/files/1/2665/6390/files/CockPaw---revamp.jpg?v=1759356462,https://cdn.shopify.com/s/files/1/2665/6390/files/CockPaw---revamp.jpg?v=1759356462 | https://cdn.shopify.com/s/files/1/2665/6390/files/Aiw---5-Pack---REVAMP.jpg?v=1759356522 | https://cdn.shopify.com/s/files/1/2665/6390/files/HoneyHatter---revamp.jpg?v=1759356522 | https://cdn.shopify.com/s/files/1/2665/6390/files/SugarCube1---revmap.jpg?v=1759356522 | https://cdn.shopify.com/s/files/1/2665/6390/files/ClockMaw---revamp.jpg?v=1759356522 | https://cdn.shopify.com/s/files/1/2665/6390/files/RedQueen---revamp.jpg?v=1759356522,6,True,matched
BIC,Alice in Wonderland Bic ,Alice in Wonderland Bic - Red Queen,Toker Poker,"1 piece = 3.125""x1.75""x0.75"", 0.8 oz.
1 case = 9.5""x18""x16"", 27.5 lbs.",500 pieces,"Piece: RTL-01-A-US-AW-RQ
Case: RTL-01-A-US-AW-RQ-MC",,810108340263,,10810108340260,4.2, $12.99/unit ,Yes,$13.99,,See Alice in Wonderland Bic Red Queen Photos HERE,,12.99,13.99,RTL-01-A-US-AW-RQ,RTL-01-A-US-AW-RQ-MC,BIC,Alice in Wonderland Bic,Alice in Wonderland Bic - Red Queen,BIC | Alice in Wonderland Bic | Alice in Wonderland Bic - Red Queen,bic alice in wonderland bic alice in wonderland bic red queen,Alice in Wonderland - BIC,alice-wonderland-collection,https://tokerpoker.com/collections/shop-all/products/alice-wonderland-collection,100,Red Queen,56,https://cdn.shopify.com/s/files/1/2665/6390/files/CockPaw---revamp.jpg?v=1759356462,https://cdn.shopify.com/s/files/1/2665/6390/files/CockPaw---revamp.jpg?v=1759356462 | https://cdn.shopify.com/s/files/1/2665/6390/files/Aiw---5-Pack---REVAMP.jpg?v=1759356522 | https://cdn.shopify.com/s/files/1/2665/6390/files/HoneyHatter---revamp.jpg?v=1759356522 | https://cdn.shopify.com/s/files/1/2665/6390/files/SugarCube1---revmap.jpg?v=1759356522 | https://cdn.shopify.com/s/files/1/2665/6390/files/ClockMaw---revamp.jpg?v=1759356522 | https://cdn.shopify.com/s/files/1/2665/6390/files/RedQueen---revamp.jpg?v=1759356522,6,True,matched
BIC,Alice in Wonderland Bic ,Alice in Wonderland Bic - Honey Hatter,Toker Poker,"1 piece = 3.125""x1.75""x0.75"", 0.8 oz.
1 case = 9.5""x18""x16"", 27.5 lbs.",500 pieces,"Piece: RTL-01-A-US-AW-HH
Case: RTL-01-A-US-AW-HH-MC",,810108340232,,10810108340239,4.2, $12.99/unit ,Yes,$13.99,,See Alice in Wonderland Bic Honey Hatter Photos HERE,,12.99,13.99,RTL-01-A-US-AW-HH,RTL-01-A-US-AW-HH-MC,BIC,Alice in Wonderland Bic,Alice in Wonderland Bic - Honey Hatter,BIC | Alice in Wonderland Bic | Alice in Wonderland Bic - Honey Hatter,bic alice in wonderland bic alice in wonderland bic honey hatter,Alice in Wonderland - BIC,alice-wonderland-collection,https://tokerpoker.com/collections/shop-all/products/alice-wonderland-collection,100,Honey Hatter,61,https://cdn.shopify.com/s/files/1/2665/6390/files/CockPaw---revamp.jpg?v=1759356462,https://cdn.shopify.com/s/files/1/2665/6390/files/CockPaw---revamp.jpg?v=1759356462 | https://cdn.shopify.com/s/files/1/2665/6390/files/Aiw---5-Pack---REVAMP.jpg?v=1759356522 | https://cdn.shopify.com/s/files/1/2665/6390/files/HoneyHatter---revamp.jpg?v=1759356522 | https://cdn.shopify.com/s/files/1/2665/6390/files/SugarCube1---revmap.jpg?v=1759356522 | https://cdn.shopify.com/s/files/1/2665/6390/files/ClockMaw---revamp.jpg?v=1759356522 | https://cdn.shopify.com/s/files/1/2665/6390/files/RedQueen---revamp.jpg?v=1759356522,6,True,matched
